                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4364,                 3.2308,                 3.7922,                0.12311,                0.17327,                0.07479,                0.01906,                 2.9863,                 2.7298,                 3.5383,                0.07013,              0.0033188,              0.0033188
                      2,                  2.963,                 2.7938,                 3.3219,                0.05792,                0.04258,                0.01475,                0.00377,                 2.9998,                 3.6137,                 3.6582,               0.040065,              0.0065863,              0.0065863
                      3,                 2.6466,                 2.6754,                 2.9783,                 0.2243,                0.29075,                 0.1636,                0.05323,                 2.4193,                 3.3089,                 2.8704,              0.0099327,              0.0097878,              0.0097878
                      4,                  2.274,                 2.3127,                 2.5286,                 0.2945,                0.30543,                0.18457,                0.06801,                 2.2423,                 3.1568,                 2.6161,               0.009703,               0.009703,               0.009703
                      5,                 2.1215,                   2.16,                 2.3254,                0.42992,                0.41557,                0.35151,                0.13689,                 2.0505,                  2.281,                 2.3317,               0.009703,               0.009703,               0.009703
                      6,                 1.9992,                 2.0206,                 2.1643,                0.51875,                0.49339,                0.49433,                0.20762,                 1.8446,                 2.1558,                  2.093,               0.009604,               0.009604,               0.009604
                      7,                  1.895,                 1.8762,                 2.0287,                0.53184,                0.52717,                0.55922,                0.26294,                 1.7466,                 1.7758,                 1.9575,               0.009505,               0.009505,               0.009505
                      8,                  1.842,                 1.8021,                  1.965,                0.58073,                0.48899,                0.51896,                0.24401,                 1.8046,                 1.8554,                 2.0194,               0.009406,               0.009406,               0.009406
                      9,                 1.7843,                 1.7317,                 1.8834,                0.61916,                 0.5536,                0.58856,                0.29292,                 1.6904,                 1.6427,                 1.8553,               0.009307,               0.009307,               0.009307
                     10,                 1.7458,                 1.6845,                 1.8461,                0.65203,                0.60352,                0.65396,                0.34064,                 1.6019,                 1.5923,                 1.7593,               0.009208,               0.009208,               0.009208
                     11,                  1.717,                 1.6552,                 1.8144,                0.67372,                0.57856,                0.66688,                0.35519,                 1.5352,                  1.508,                 1.6814,               0.009109,               0.009109,               0.009109
                     12,                 1.6961,                 1.6213,                 1.7706,                0.68403,                0.61527,                0.68878,                0.36076,                 1.5899,                 1.4906,                 1.7207,                0.00901,                0.00901,                0.00901
                     13,                 1.6634,                 1.5799,                  1.736,                0.63518,                0.65492,                0.68485,                0.35921,                 1.5292,                 1.4123,                 1.7058,               0.008911,               0.008911,               0.008911
                     14,                 1.6341,                 1.5433,                 1.7223,                0.70577,                0.60352,                0.70358,                0.37897,                 1.5387,                  1.404,                  1.684,               0.008812,               0.008812,               0.008812
                     15,                 1.6232,                 1.5128,                 1.7134,                0.70306,                0.62582,                0.70441,                0.38948,                 1.4757,                 1.3622,                 1.6131,               0.008713,               0.008713,               0.008713
                     16,                 1.5943,                  1.479,                 1.6794,                0.68594,                0.63877,                0.69857,                0.38703,                 1.4903,                 1.3584,                 1.6256,               0.008614,               0.008614,               0.008614
                     17,                 1.5872,                  1.456,                 1.6713,                 0.6958,                0.64317,                0.70497,                0.38249,                 1.4919,                 1.3788,                 1.6166,               0.008515,               0.008515,               0.008515
                     18,                 1.5638,                 1.4299,                  1.648,                 0.7507,                0.63672,                0.73779,                0.40812,                 1.4804,                 1.3413,                 1.6372,               0.008416,               0.008416,               0.008416
                     19,                 1.5801,                 1.4379,                 1.6628,                0.70519,                0.66667,                0.73709,                0.41701,                 1.4342,                 1.2517,                 1.5829,               0.008317,               0.008317,               0.008317
                     20,                 1.5519,                 1.4264,                 1.6443,                0.70482,                0.65932,                0.73768,                0.42311,                 1.4466,                 1.3012,                  1.578,               0.008218,               0.008218,               0.008218
                     21,                 1.5461,                 1.4109,                 1.6243,                0.74419,                0.64758,                0.75113,                0.43498,                 1.4305,                 1.2304,                 1.5537,               0.008119,               0.008119,               0.008119
                     22,                 1.5325,                 1.3965,                 1.6208,                0.76991,                0.65345,                0.76309,                0.44308,                 1.4407,                 1.1942,                 1.5455,                0.00802,                0.00802,                0.00802
                     23,                 1.5193,                 1.3866,                 1.6116,                0.72192,                0.70908,                0.76995,                0.44416,                 1.4277,                 1.2003,                 1.5703,               0.007921,               0.007921,               0.007921
                     24,                 1.5297,                 1.3761,                 1.6142,                0.75116,                0.67107,                0.75209,                0.42588,                 1.4352,                 1.2252,                  1.552,               0.007822,               0.007822,               0.007822
                     25,                 1.5092,                 1.3499,                 1.6006,                0.68506,                0.67401,                 0.7315,                0.41371,                 1.4372,                 1.2507,                 1.5588,               0.007723,               0.007723,               0.007723
                     26,                 1.5056,                 1.3634,                 1.5977,                0.71177,                0.72981,                0.77995,                0.43698,                 1.4384,                 1.1988,                 1.5655,               0.007624,               0.007624,               0.007624
                     27,                 1.4982,                 1.3201,                 1.5807,                0.71546,                0.69457,                0.77206,                0.44969,                 1.4103,                 1.1526,                 1.5434,               0.007525,               0.007525,               0.007525
                     28,                 1.4862,                 1.3261,                 1.5686,                0.75217,                0.68429,                0.78274,                0.46555,                 1.3854,                 1.1434,                 1.5279,               0.007426,               0.007426,               0.007426
                     29,                 1.4699,                 1.2942,                 1.5602,                0.76422,                 0.6652,                0.77707,                0.46399,                 1.3997,                 1.1457,                 1.5354,               0.007327,               0.007327,               0.007327
                     30,                 1.4737,                 1.3066,                 1.5576,                 0.7282,                0.71953,                0.78532,                0.46205,                 1.3892,                 1.1459,                 1.5299,               0.007228,               0.007228,               0.007228
                     31,                 1.4572,                 1.2851,                 1.5485,                0.81336,                0.63436,                0.77313,                0.44943,                 1.4171,                  1.145,                 1.5485,               0.007129,               0.007129,               0.007129
                     32,                 1.4526,                 1.2894,                 1.5524,                0.71877,                0.73559,                0.79108,                0.47625,                 1.3583,                 1.1043,                  1.489,                0.00703,                0.00703,                0.00703
                     33,                  1.452,                 1.2609,                 1.5402,                0.75109,                0.68682,                0.76553,                0.45889,                 1.3838,                  1.128,                 1.5126,               0.006931,               0.006931,               0.006931
                     34,                 1.4546,                 1.2674,                 1.5353,                0.70997,                0.72834,                0.77791,                0.46057,                 1.3802,                 1.1481,                  1.503,               0.006832,               0.006832,               0.006832
                     35,                 1.4339,                 1.2599,                 1.5252,                0.81705,                0.66667,                0.79649,                0.47172,                 1.3797,                   1.12,                 1.4952,               0.006733,               0.006733,               0.006733
                     36,                  1.425,                  1.245,                  1.515,                0.74553,                0.71416,                0.78437,                0.46176,                 1.3865,                 1.1016,                 1.5157,               0.006634,               0.006634,               0.006634
