                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4519,                  3.254,                 3.8203,                0.13484,                0.17928,                0.07538,                0.01933,                 3.0873,                 2.8491,                 3.6364,                0.07013,              0.0033189,              0.0033189
                      2,                 2.8178,                 2.6329,                  3.187,                0.05814,                0.08898,                0.01946,                0.00546,                 3.1059,                 3.9004,                 4.1898,               0.040064,              0.0065864,              0.0065864
                      3,                 2.3649,                 2.3451,                 2.6507,                0.24338,                0.30013,                0.18275,                 0.0609,                 2.4269,                 2.7704,                 2.8114,              0.0099322,              0.0097879,              0.0097879
                      4,                 2.1369,                 2.1718,                 2.3628,                0.31182,                0.38114,                 0.2718,                0.10358,                 2.1691,                 2.2078,                 2.4609,               0.009703,               0.009703,               0.009703
                      5,                 2.0015,                  2.037,                 2.1871,                0.47261,                0.46614,                 0.4257,                0.18108,                 2.0037,                 2.0473,                 2.2087,               0.009703,               0.009703,               0.009703
                      6,                 1.8966,                 1.8832,                 2.0412,                0.49811,                0.47012,                0.47074,                0.21599,                 1.8653,                 1.7965,                 2.0006,               0.009604,               0.009604,               0.009604
                      7,                 1.8471,                 1.8012,                 1.9701,                0.54734,                0.50598,                0.49871,                0.23493,                 1.7612,                 1.9814,                 1.9177,               0.009505,               0.009505,               0.009505
                      8,                 1.7859,                 1.7566,                 1.8901,                0.57314,                0.52855,                0.53911,                0.27096,                  1.729,                 1.7674,                 1.8452,               0.009406,               0.009406,               0.009406
                      9,                 1.7647,                 1.7158,                 1.8515,                0.64995,                0.54986,                0.62612,                0.31706,                 1.6813,                 1.5645,                  1.784,               0.009307,               0.009307,               0.009307
                     10,                  1.709,                 1.6509,                 1.8094,                 0.6876,                0.54714,                0.63487,                0.34165,                 1.5864,                 1.4585,                 1.7036,               0.009208,               0.009208,               0.009208
                     11,                 1.6834,                 1.5984,                 1.7875,                0.63986,                0.61581,                0.65549,                0.34533,                 1.6334,                 1.5297,                 1.7378,               0.009109,               0.009109,               0.009109
                     12,                 1.6582,                 1.5689,                 1.7402,                0.69356,                0.54103,                0.64992,                0.34647,                 1.5963,                  1.465,                 1.6983,                0.00901,                0.00901,                0.00901
                     13,                 1.6402,                 1.5334,                 1.7254,                0.67763,                0.60298,                0.65295,                 0.3407,                 1.6096,                 1.4703,                 1.7044,               0.008911,               0.008911,               0.008911
                     14,                 1.6196,                 1.5302,                 1.7088,                0.70214,                0.58541,                0.68088,                0.36028,                 1.5556,                 1.4156,                 1.6732,               0.008812,               0.008812,               0.008812
                     15,                 1.5994,                 1.4713,                 1.6795,                0.64829,                0.58749,                0.64017,                0.34302,                 1.5669,                 1.4079,                 1.6674,               0.008713,               0.008713,               0.008713
                     16,                 1.5858,                 1.4665,                 1.6724,                0.64184,                0.62284,                0.68361,                0.37461,                 1.5677,                 1.3817,                 1.6541,               0.008614,               0.008614,               0.008614
                     17,                  1.584,                 1.4698,                 1.6683,                0.67448,                0.56042,                0.64296,                0.36195,                 1.5392,                 1.4602,                 1.6346,               0.008515,               0.008515,               0.008515
                     18,                 1.5633,                 1.4455,                  1.648,                0.68008,                0.63802,                0.69871,                0.38561,                 1.5371,                 1.3397,                 1.6208,               0.008416,               0.008416,               0.008416
                     19,                 1.5532,                 1.4308,                 1.6454,                0.72669,                 0.6144,                0.70996,                0.39234,                 1.5318,                 1.3575,                 1.6209,               0.008317,               0.008317,               0.008317
                     20,                 1.5288,                 1.3978,                 1.6201,                0.74802,                 0.6255,                0.71557,                0.40005,                 1.5179,                 1.2624,                 1.6216,               0.008218,               0.008218,               0.008218
                     21,                 1.5305,                  1.391,                 1.6209,                0.70018,                0.65073,                0.70899,                0.40028,                 1.4953,                  1.309,                 1.5803,               0.008119,               0.008119,               0.008119
                     22,                 1.5176,                 1.3721,                 1.6068,                0.70408,                0.65737,                0.72742,                0.41353,                 1.4832,                 1.2935,                 1.5677,                0.00802,                0.00802,                0.00802
                     23,                 1.5206,                 1.3582,                 1.5995,                0.70707,                0.63469,                0.70567,                0.38795,                 1.5205,                 1.2767,                 1.6036,               0.007921,               0.007921,               0.007921
                     24,                 1.5116,                 1.3527,                 1.5917,                0.69315,                0.63214,                0.70301,                 0.3918,                 1.5181,                 1.2882,                 1.5924,               0.007822,               0.007822,               0.007822
                     25,                 1.4955,                 1.3441,                 1.5799,                0.70518,                0.65437,                0.72323,                0.41533,                 1.4668,                 1.2425,                 1.5453,               0.007723,               0.007723,               0.007723
                     26,                  1.479,                 1.3194,                 1.5718,                0.68928,                0.65604,                 0.7172,                0.41825,                 1.4461,                 1.2659,                 1.5385,               0.007624,               0.007624,               0.007624
